PFI,EZI_ADD,SRC_VERIF,PROPSTATUS,GCODEFEAT,LOC_DESC,BLGUNTTYP,HSAUNITID,BUNIT_PRE1,BUNIT_ID1,BUNIT_SUF1,BUNIT_PRE2,BUNIT_ID2,BUNIT_SUF2,FLOOR_TYPE,FLOOR_NO_1,FLOOR_NO_2,BUILDING,COMPLEX,HSE_PREF1,HSE_NUM1,HSE_SUF1,HSE_PREF2,HSE_NUM2,HSE_SUF2,DISP_NUM1,ROAD_NAME,ROAD_TYPE,RD_SUF,LOCALITY,STATE,POSTCODE,ACCESSTYPE,x,y
422335994,18 PROFESSORS WALK PARKVILLE 3052,2024-12-16,A,V,,,,,,,,,,,,,OLD ARTS BUILDING 149,,,18.0,,,,,,PROFESSORS,WALK,,PARKVILLE,VIC,3052,L,144.9601284890001,-37.79772154799997
422335968,783 SWANSTON STREET PARKVILLE 3052,2024-12-16,A,V,,,,,,,,,,,,,SIDNEY MYER ASIA CENTRE BUILDING 158,,,783.0,,,,,,SWANSTON,STREET,,PARKVILLE,VIC,3052,L,144.96393198700002,-37.798864942999955
422335972,230 GRATTAN STREET PARKVILLE 3052,2015-07-16,A,V,,,,,,,,,,,,,BUILDING 157,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.9633139540001,-37.79794095999995
422336009,230 GRATTAN STREET PARKVILLE 3052,2015-07-16,A,V,,,,,,,,,,,,,INFRASTRUCTURE ENGINEERING BUILDING 174-176,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96160342500002,-37.799897718999944
422336011,230 GRATTAN STREET PARKVILLE 3052,2015-07-16,A,V,,,,,,,,,,,,,MECHANICAL ENGINEERING BUILDING 169-170,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96232926100004,-37.79958241999998
422335966,230 GRATTAN STREET PARKVILLE 3052,2015-07-16,A,V,,,,,,,,,,,,,JOHN SMYTH BUILDING 197,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.963708246,-37.79943366899994
422336015,230 GRATTAN STREET PARKVILLE 3052,2015-07-16,A,V,,,,,,,,,,,,,OLD RADIATION LAB BUILDING 164,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96244897100007,-37.79895187099993
422621986,230 GRATTAN STREET PARKVILLE 3052,2015-08-19,A,V,PART,,,,,,,,,G,,,,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96086001300012,-37.79684069999996
422621989,230 GRATTAN STREET PARKVILLE 3052,2015-08-19,A,V,PART,,,,,,,,,G,,,,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96086001300012,-37.79684069999996
422621992,230 GRATTAN STREET PARKVILLE 3052,2015-08-19,A,V,PART,,,,,,,,,B,,,UNION HOUSE BUILDING 130,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96086001300012,-37.79684069999996
422621995,230 GRATTAN STREET PARKVILLE 3052,2015-08-19,A,V,PART,,,,,,,,,G,,,,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96086001300012,-37.79684069999996
422621998,230 GRATTAN STREET PARKVILLE 3052,2015-08-19,A,V,PART,,,,,,,,,B,,,,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96086001300012,-37.79684069999996
422621959,230 GRATTAN STREET PARKVILLE 3052,2015-08-19,A,V,PART,,,,,,,,,B,,,,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96086001300012,-37.79684069999996
422622010,230 GRATTAN STREET PARKVILLE 3052,2015-08-19,A,V,PART,,,,,,,,,L,2.0,,,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96086001300012,-37.79684069999996
422622016,230 GRATTAN STREET PARKVILLE 3052,2015-08-19,A,V,PART,,,,,,,,,G,,,,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96086001300012,-37.79684069999996
422621926,230 GRATTAN STREET PARKVILLE 3052,2015-08-19,A,V,,,,,,,,,,B,,,,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96086001300012,-37.79684069999996
422621947,230 GRATTAN STREET PARKVILLE 3052,2015-08-19,A,V,PART,,,,,,,,,L,1.0,,,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96086001300012,-37.79684069999996
422621878,230 GRATTAN STREET PARKVILLE 3052,2016-05-17,A,V,PART,,,,,,,,,L,1.0,,,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96086001300012,-37.79684069999996
428081472,230 GRATTAN STREET PARKVILLE 3052,2018-05-11,A,V,ADJACENT,KSK,,,,,,,,,,,,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96224289500003,-37.796169875999965
422621968,230 GRATTAN STREET PARKVILLE 3052,2018-05-11,A,V,,,,,,,,,,G,,,,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.96086001300012,-37.79684069999996
428053601,230 GRATTAN STREET PARKVILLE 3052,2018-05-10,A,V,,,,,,,,,,,,,VISITOR CENTRE AND SHOP BUILDING 188,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.960538938,-37.79944238699994
203495344,230 GRATTAN STREET PARKVILLE 3052,2015-07-16,A,V,,,,,,,,,,,,,,,,230.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.9616023970001,-37.796087101999944